

Hiperparámetros por defecto  
        n_bins: int = 20,
        lr: float = 0.1,
        gamma: float = 0.99,
        epsilon_start: float = 1.0,
        epsilon_end: float = 0.01,
        epsilon_decay: float = 0.9995,

Resultados Entrenamiento

Episode 100/20000 | Avg Reward: -200.00 | Epsilon: 0.9512 | States visited: 62
Episode 200/20000 | Avg Reward: -200.00 | Epsilon: 0.9048 | States visited: 72
Episode 300/20000 | Avg Reward: -200.00 | Epsilon: 0.8607 | States visited: 87
Episode 400/20000 | Avg Reward: -200.00 | Epsilon: 0.8187 | States visited: 97
Episode 500/20000 | Avg Reward: -200.00 | Epsilon: 0.7788 | States visited: 133
Episode 600/20000 | Avg Reward: -200.00 | Epsilon: 0.7408 | States visited: 144
Episode 700/20000 | Avg Reward: -200.00 | Epsilon: 0.7046 | States visited: 152
Episode 800/20000 | Avg Reward: -200.00 | Epsilon: 0.6703 | States visited: 163
Episode 900/20000 | Avg Reward: -200.00 | Epsilon: 0.6376 | States visited: 176
Episode 1000/20000 | Avg Reward: -200.00 | Epsilon: 0.6065 | States visited: 182
Episode 1100/20000 | Avg Reward: -200.00 | Epsilon: 0.5769 | States visited: 183
Episode 1200/20000 | Avg Reward: -200.00 | Epsilon: 0.5487 | States visited: 212
Episode 1300/20000 | Avg Reward: -200.00 | Epsilon: 0.5220 | States visited: 218
Episode 1400/20000 | Avg Reward: -200.00 | Epsilon: 0.4965 | States visited: 227
Episode 1500/20000 | Avg Reward: -200.00 | Epsilon: 0.4723 | States visited: 231
Episode 1600/20000 | Avg Reward: -200.00 | Epsilon: 0.4492 | States visited: 236
Episode 1700/20000 | Avg Reward: -199.72 | Epsilon: 0.4273 | States visited: 245
Episode 1800/20000 | Avg Reward: -200.00 | Epsilon: 0.4065 | States visited: 250
Episode 1900/20000 | Avg Reward: -199.35 | Epsilon: 0.3866 | States visited: 255
Episode 2000/20000 | Avg Reward: -199.91 | Epsilon: 0.3678 | States visited: 262
Episode 2100/20000 | Avg Reward: -199.42 | Epsilon: 0.3498 | States visited: 266
Episode 2200/20000 | Avg Reward: -198.43 | Epsilon: 0.3328 | States visited: 269
Episode 2300/20000 | Avg Reward: -199.85 | Epsilon: 0.3165 | States visited: 271
Episode 2400/20000 | Avg Reward: -199.08 | Epsilon: 0.3011 | States visited: 273
Episode 2500/20000 | Avg Reward: -198.60 | Epsilon: 0.2864 | States visited: 275
Episode 2600/20000 | Avg Reward: -198.79 | Epsilon: 0.2724 | States visited: 275
Episode 2700/20000 | Avg Reward: -195.15 | Epsilon: 0.2592 | States visited: 280
Episode 2800/20000 | Avg Reward: -195.56 | Epsilon: 0.2465 | States visited: 281
Episode 2900/20000 | Avg Reward: -193.21 | Epsilon: 0.2345 | States visited: 283
Episode 3000/20000 | Avg Reward: -194.26 | Epsilon: 0.2230 | States visited: 285
Episode 3100/20000 | Avg Reward: -189.08 | Epsilon: 0.2122 | States visited: 287
Episode 3200/20000 | Avg Reward: -190.89 | Epsilon: 0.2018 | States visited: 290
Episode 3300/20000 | Avg Reward: -189.42 | Epsilon: 0.1920 | States visited: 290
Episode 3400/20000 | Avg Reward: -195.49 | Epsilon: 0.1826 | States visited: 290
Episode 3500/20000 | Avg Reward: -184.82 | Epsilon: 0.1737 | States visited: 290
Episode 3600/20000 | Avg Reward: -185.93 | Epsilon: 0.1652 | States visited: 291
Episode 3700/20000 | Avg Reward: -187.16 | Epsilon: 0.1572 | States visited: 291
