n_bins,lr,gamma,epsilon_start,epsilon_end,epsilon_decay,mean_reward,std_reward,flag_success
50,0.1,0.9730644050358487,1.0,0.01,0.9975075582449319,-156.8,2.93,10/10
20,0.2,0.9822235013683386,1.0,0.01,0.9951496060527923,-166.7,18.19,9/10
60,0.03,0.9519169880709648,1.0,0.01,0.9997872641105026,-199.4,1.8,2/10
30,0.05,0.9987371883890674,1.0,0.01,0.9996694565684363,-145.8,20.1,10/10
60,0.03,0.9716314436844805,1.0,0.01,0.9960133277478659,-200.0,0.0,0/10
60,0.01,0.9970728471888514,1.0,0.01,0.9951918310254845,-200.0,0.0,0/10
60,0.2,0.9602520822443318,1.0,0.01,0.9974790406023236,-137.8,19.73,10/10
30,0.01,0.9659775908622048,1.0,0.01,0.9990677404555177,-200.0,0.0,0/10
20,0.1,0.998923950150892,1.0,0.01,0.996495590177266,-131.7,10.33,10/10
60,0.05,0.9707341752651124,1.0,0.01,0.999395747514308,-184.6,16.77,5/10
40,0.1,0.9983489920831108,1.0,0.01,0.9979761122590491,-130.7,22.5,10/10
60,0.05,0.9841532660356331,1.0,0.01,0.9991165204196375,-194.8,9.94,5/10
50,0.03,0.9910922229466474,1.0,0.01,0.9978535745476159,-199.6,1.2,1/10
20,0.1,0.9971803645394206,1.0,0.01,0.9979802112709408,-136.1,1.58,10/10
40,0.01,0.9966147638322177,1.0,0.01,0.9995568324584273,-200.0,0.0,0/10
30,0.2,0.988011768327114,1.0,0.01,0.9954427661463758,-138.3,9.38,10/10
30,0.05,0.9719020799592262,1.0,0.01,0.9950623757699206,-140.0,22.56,10/10
40,0.05,0.9573264421107848,1.0,0.01,0.999336008311994,-164.3,19.57,8/10
50,0.1,0.9886644785754598,1.0,0.01,0.9990014494403373,-128.2,17.17,10/10
50,0.05,0.9846748185037544,1.0,0.01,0.9962449035230141,-170.7,19.25,8/10
30,0.01,0.9576382132527668,1.0,0.01,0.9963761719800821,-176.3,16.43,7/10
50,0.1,0.9979757393671687,1.0,0.01,0.9990575924388588,-161.3,19.46,10/10
30,0.2,0.985651720216575,1.0,0.01,0.9990614913505487,-146.6,11.22,10/10
30,0.1,0.9985498172001667,1.0,0.01,0.9982130200679813,-151.6,20.59,10/10
40,0.01,0.9721152080851192,1.0,0.01,0.9992791340973114,-198.4,3.2,2/10
20,0.03,0.9581552750547662,1.0,0.01,0.9977889879244162,-133.3,22.28,10/10
60,0.05,0.9807483128849884,1.0,0.01,0.9976609944967705,-178.6,17.56,6/10
40,0.2,0.9792962719697862,1.0,0.01,0.9953085573854271,-126.8,14.16,10/10
30,0.01,0.9901502766292581,1.0,0.01,0.9989249269142473,-171.3,10.33,9/10
50,0.1,0.9937635747461125,1.0,0.01,0.9968601034973351,-148.9,15.59,10/10
30,0.05,0.9768938609670339,1.0,0.01,0.9991367510896162,-167.2,19.02,8/10
40,0.05,0.9985671279876314,1.0,0.01,0.9968954124919177,-155.6,24.04,9/10
30,0.05,0.9652070566992252,1.0,0.01,0.9988951163472776,-156.5,20.13,9/10
30,0.2,0.9553625059109995,1.0,0.01,0.996858027381781,-132.2,9.99,10/10
20,0.05,0.9934670486532103,1.0,0.01,0.9952604785659992,-160.4,15.52,10/10
60,0.01,0.9683846212008471,1.0,0.01,0.9991156225216722,-200.0,0.0,0/10
40,0.1,0.9921253791628325,1.0,0.01,0.9956935484017578,-131.5,19.4,10/10
20,0.05,0.9737427318981311,1.0,0.01,0.9950125927067741,-143.2,3.6,10/10
20,0.05,0.9510637512849003,1.0,0.01,0.995263629516116,-126.9,32.72,10/10
20,0.1,0.9943474777342338,1.0,0.01,0.9991111031462606,-136.3,10.7,10/10
50,0.01,0.9551150201556603,1.0,0.01,0.9985623827086881,-200.0,0.0,0/10
30,0.2,0.9844725373751146,1.0,0.01,0.9992294811001979,-131.9,19.48,10/10
40,0.03,0.9519218855515422,1.0,0.01,0.9994682696336835,-177.6,24.99,7/10
20,0.03,0.9716986062177424,1.0,0.01,0.9958187510807265,-146.3,2.15,10/10
50,0.2,0.9547676615252175,1.0,0.01,0.9963688907786742,-138.6,14.6,10/10
40,0.03,0.975253516007563,1.0,0.01,0.9979413760407604,-153.1,1.97,10/10
40,0.05,0.9833280732310604,1.0,0.01,0.9998344521080794,-186.4,18.75,7/10
40,0.05,0.979268705210924,1.0,0.01,0.9956239767223846,-145.3,14.23,10/10
30,0.03,0.9971048495989251,1.0,0.01,0.9984688269436308,-160.7,30.03,7/10
60,0.1,0.9889462686460768,1.0,0.01,0.9973023195114069,-167.8,25.57,9/10
